Nr;date_farm;AMU;age;date_lab;AMP;AZI;AMI;GEN;TGC;TAZ;FOT;COL;NAL;TET;TMP;SMX;CHL;MERO;CIP;multidrug_res;drug_res;multiclass_res;class_res;;;
104;10.08.2023;1;1;16.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
105;11.08.2023;0;0;16.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
106;11.08.2023;0;1;19.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
107;11.08.2023;0;1;19.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
108;11.08.2023;0;1;19.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
109;14.08.2023;0;0;19.08.2023;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;3;1;3;;;
110;14.08.2023;0;1;19.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
111;14.08.2023;0;1;19.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
112;14.08.2023;0;1;19.08.2023;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;5;1;5;;;
113;17.08.2023;0;0;23.08.2023;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;3;1;3;;;
114;17.08.2023;0;1;23.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
115;17.08.2023;0;1;23.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
116;17.08.2023;0;1;23.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
117;18.08.2023;0;0;24.08.2023;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;4;1;4;;;
118;18.08.2023;0;1;24.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
119;18.08.2023;0;1;24.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
120;18.08.2023;0;1;24.08.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
121;21.08.2023;1;0;05.10.2023;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;3;1;3;;;
122;21.08.2023;1;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
123;21.08.2023;1;1;06.09.2023;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;;;
124;21.08.2023;1;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
125;24.08.2023;0;0;06.09.2023;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;6;1;6;;;
126;24.08.2023;0;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
127;24.08.2023;0;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
128;24.08.2023;0;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
129;25.08.2023;1;0;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
130;25.08.2023;1;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
131;25.08.2023;1;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
132;25.08.2023;1;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
133;28.08.2023;0;0;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
134;28.08.2023;0;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
135;28.08.2023;0;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
136;28.08.2023;0;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
137;28.08.2023;0;0;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
